Season,Player,Team,Injury,Date,Source
2025,Malik Nabers,WR,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Justin Fields,QB,Questionable (Knee),12/19,Yahoo
2025,Isaiah Oliver,S,Injured Reserve (Knee),12/19,Yahoo
2025,Garrett Wilson,WR,Injured Reserve (Knee),12/19,Yahoo
2025,Irvin Charles,WR,Physically Unable to perform (Regular Season) (Knee - ACL),12/19,Yahoo
2025,Braelon Allen,RB,Injured Reserve (Knee - MCL),12/19,Yahoo
2025,Tyler Baron,DL,Injured Reserve (Knee),12/19,Yahoo
2025,Ben VanSumeren,FB,Injured Reserve (Knee),12/19,Yahoo
2025,Johnny Wilson,WR,Injured Reserve (Knee),12/19,Yahoo
2025,Willie Lampkin,G,Injured Reserve (Knee),12/19,Yahoo
2025,Christian Kuntz,LS,Questionable (Knee),12/19,Yahoo
2025,Miles Killebrew,S,Injured Reserve (Knee),12/19,Yahoo
2025,Dean Lowry,DT,Injured Reserve (Knee),12/19,Yahoo
2025,DeShon Elliott,S,Injured Reserve (Knee),12/19,Yahoo
2025,Daniel Ekuale,DT,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Max Scharping,G,Injured Reserve (Knee),12/19,Yahoo
2025,Calvin Anderson,OT,Injured Reserve (Knee),12/19,Yahoo
2025,Cory Trice Jr.,CB,Injured Reserve (Knee),12/19,Yahoo
2025,Jordan Elliott,DL,Questionable (Knee),12/19,Yahoo
2025,Spencer Burford,OL,Questionable (Knee),12/19,Yahoo
2025,Ricky Pearsall,WR,Questionable (Knee),12/19,Yahoo
2025,Kurtis Rourke,QB,Non-Football Injury (Reserve) (Knee),12/19,Yahoo
2025,Nick Bosa,DL,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Brandon Aiyuk,WR,Reserve: Did Not Report (Knee - ACL + MCL),12/19,Yahoo
2025,Mykel Williams,DL,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,Coby Bryant,FS,Questionable (Knee),12/19,Yahoo
2025,Riq Woolen,CB,Questionable (Knee),12/19,Yahoo
2025,Kenny McIntosh,RB,Injured Reserve (Knee - ACL),12/19,Yahoo
2025,AJ Finley,S,Injured Reserve (Knee),12/19,Yahoo
